country,cluster
Arménie,Autre
Afghanistan,Afrique
Albanie,Occident
Algérie,Moyen Orient
Angola,Afrique
Antigua-et-Barbuda,Autre
Argentine,Occident
Australie,Occident
Autriche,Occident
Bahamas,Autre
Barbade,Autre
Bangladesh,Afrique
Bermudes,Autre
Bolivie (État plurinational de),Autre
Botswana,Autre
Brésil,Autre
Belize,Moyen Orient
Îles Salomon,Afrique
Brunéi Darussalam,Autre
Bulgarie,Autre
Myanmar,Autre
Cameroun,Afrique
Canada,Occident
Cabo Verde,Autre
République centrafricaine,Afrique
Sri Lanka,Afrique
Tchad,Afrique
Chili,Autre
"Chine, continentale",Moyen Orient
Colombie,Autre
Congo,Afrique
Costa Rica,Autre
Cuba,Moyen Orient
Chypre,Autre
Azerbaïdjan,Moyen Orient
Bénin,Afrique
Danemark,Occident
Dominique,Autre
République dominicaine,Autre
Bélarus,Autre
Équateur,Autre
Égypte,Moyen Orient
El Salvador,Autre
Estonie,Occident
Fidji,Autre
Finlande,Occident
France,Occident
Polynésie française,Autre
Djibouti,Afrique
Géorgie,Autre
Gabon,Autre
Gambie,Afrique
Allemagne,Occident
Bosnie-Herzégovine,Moyen Orient
Ghana,Afrique
Kiribati,Autre
Grèce,Occident
Grenade,Autre
Guatemala,Afrique
Guinée,Afrique
Guyana,Autre
Haïti,Afrique
Honduras,Autre
Chine - RAS de Hong-Kong,Occident
Hongrie,Autre
Croatie,Autre
Islande,Occident
Inde,Afrique
Indonésie,Afrique
Iran (République islamique d'),Moyen Orient
Iraq,Afrique
Irlande,Occident
Israël,Occident
Italie,Occident
Côte d'Ivoire,Afrique
Kazakhstan,Autre
Jamaïque,Autre
Japon,Autre
Jordanie,Moyen Orient
Kirghizistan,Autre
Kenya,Afrique
Cambodge,Afrique
République populaire démocratique de Corée,Afrique
République de Corée,Moyen Orient
Koweït,Moyen Orient
Lettonie,Autre
République démocratique populaire lao,Afrique
Liban,Moyen Orient
Lesotho,Afrique
Libéria,Afrique
Lituanie,Occident
Chine - RAS de Macao,Autre
Madagascar,Afrique
Malawi,Afrique
Malaisie,Autre
Maldives,Occident
Mali,Moyen Orient
Malte,Occident
Mauritanie,Moyen Orient
Maurice,Autre
Mexique,Autre
Mongolie,Autre
Maroc,Moyen Orient
Mozambique,Afrique
République de Moldova,Autre
Namibie,Afrique
Népal,Afrique
Pays-Bas,Occident
Antilles néerlandaises (ex),Autre
Nouvelle-Calédonie,Autre
l'ex-République yougoslave de Macédoine,Autre
Vanuatu,Moyen Orient
Nouvelle-Zélande,Autre
Nicaragua,Afrique
Niger,Afrique
Nigéria,Afrique
Norvège,Occident
Pakistan,Autre
Panama,Autre
Tchéquie (la),Autre
Paraguay,Autre
Pérou,Autre
Philippines,Autre
Pologne,Occident
Portugal,Occident
Guinée-Bissau,Afrique
Timor-Leste,Afrique
Zimbabwe,Afrique
Roumanie,Occident
Rwanda,Afrique
Fédération de Russie,Occident
Serbie-et-Monténégro,Autre
Saint-Kitts-et-Nevis,Autre
Sainte-Lucie,Autre
Saint-Vincent-et-les Grenadines,Autre
Sao Tomé-et-Principe,Afrique
Arabie saoudite,Moyen Orient
Sénégal,Afrique
Sierra Leone,Afrique
Slovénie,Autre
Slovaquie,Autre
Afrique du Sud,Autre
Espagne,Occident
Soudan (ex),Autre
Suriname,Autre
Tadjikistan,Afrique
Eswatini,Afrique
Suède,Occident
Suisse,Autre
Turkménistan,Autre
"Chine, Taiwan Province de",Autre
République-Unie de Tanzanie,Afrique
Thaïlande,Autre
Togo,Afrique
Trinité-et-Tobago,Autre
Oman,Moyen Orient
Tunisie,Moyen Orient
Turquie,Moyen Orient
Émirats arabes unis,Émirats arabes unis
Ouganda,Afrique
Royaume-Uni,Occident
Ukraine,Autre
États-Unis d'Amérique,Occident
Burkina Faso,Afrique
Uruguay,Autre
Ouzbékistan,Autre
Venezuela (République bolivarienne du),Autre
Viet Nam,Autre
Éthiopie,Afrique
Samoa,Autre
Yémen,Afrique
Zambie,Afrique
Belgique,Occident
Luxembourg,Occident
Serbie,Autre
Monténégro,Occident
Soudan,Autre
Chine,Moyen Orient
